Name,Description,Example,Conditional requirement conditions
*#^X_Loc_Error:*,"Metric used to quantify the Error associated with the estimation of the X-axis localization of this bright Spot. Whatever method is used, a description of how this metric was computed and of the Software that was employed must be provided in the header of the table. Such description must contain enough details to allow interpretation and reproducibility.",,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
*#^Y_Loc_Error:*,"Metric used to quantify the Error associated with the estimation of the Y-axis localization of this bright Spot. Whatever method is used, a description of how this metric was computed and of the Software that was employed must be provided in the header of the table. Such description must contain enough details to allow interpretation and reproducibility.",,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
*#^Z_Loc_Error:*,"Metric used to quantify the Error associated with the estimation of the Z-axis localization of this bright Spot. Whatever method is used, a description of how this metric was computed and of the Software that was employed must be provided in the header of the table. Such description must contain enough details to allow interpretation and reproducibility.",,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
*#^X_Loc_Precision:*,"Metric used to quantify the Precision associated with the estimation of the X-axis localization of this bright Spot. Different methods might be used. The Cramer-Rao Lower and Upper Bounds methods is widely accepted, but it tends to overestimate the Precision value. Alternatively, the Thompson method, by which Precision is estimated to be proportional to Photon Count, can also be used even though this method highly overestimates the Precision. Whatever method is used, description of how this metric was computed and of the Software that was employed must be provided in the header of the table. Such description must contain enough details to allow interpretation and reproducibility.",,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
*#^Y_Loc_Precision:*,"Metric used to quantify the Precision associated with the estimation of the Y-axis localization of this bright Spot. Different methods might be used. The Cramer-Rao Lower and Upper Bounds methods is widely accepted, but it tends to overestimate the Precision value. Alternatively, the Thompson method, by which Precision is estimated to be proportional to Photon Count, can also be used even though this method highly overestimates the Precision. Whatever method is used, description of how this metric was computed and of the Software that was employed must be provided in the header of the table. Such description must contain enough details to allow interpretation and reproducibility.",,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
*#^Z_Loc_Precision:*,"Metric used to quantify the Precision associated with the estimation of the Z-axis localization of this bright Spot. Different methods might be used. The Cramer-Rao Lower and Upper Bounds methods is widely accepted, but it tends to overestimate the Precision value. Alternatively, the Thompson method, by which Precision is estimated to be proportional to Photon Count, can also be used even though this method highly overestimates the Precision. Whatever method is used, description of how this metric was computed and of the Software that was employed must be provided in the header of the table. Such description must contain enough details to allow interpretation and reproducibility.",,"Conditional requirement: when this metric is reported, the use of this column name **MUST** be used."
#^Optional_column_1:,Optional column 1 description. This description should provide a clear understanding of the process utilized to produce the data and contain sufficient details to ensure interpretation and reproducibility.,,
#^Optional_column_2:,Optional column 2 description. This description should provide a clear understanding of the process utilized to produce the data and contain sufficient details to ensure interpretation and reproducibility.,,
#^Optional_column_3:,Optional column 3 description. This description should provide a clear understanding of the process utilized to produce the data and contain sufficient details to ensure interpretation and reproducibility.,,
**#additional_tables:**,list of the additional tables being submitted. Note: use a comma to separate each table name from the next.,"4dn_FOF-CT_core, 4dn_FOF-CT_rna, 4dn_FOF-CT_bio, 4dn_FOF-CT_trace, 4dn_FOF-CT_cell",
**##columns=**,list of the data column headers used in the table. Note: enclose the column headers and use a comma to separate each header name from the next.,"(RNA_Spot_ID, Channel_Name, Fluorophore_Name, Optional_column_1, Optional_column_2, Optional_colummn_3)",
